customer_id,Frequency,Monetary,total_items_purchased,total_orders_returned,Recency,return_rate,R_Score,F_Score,M_Score,RFM_Cell,RFM_Score_Sum
CUST00001,6,2487.61,7,1,107,0.16666666666666666,2,5,4,254,11
CUST00002,1,581.0,1,0,40,0.0,4,1,1,411,6
CUST00003,1,649.98,2,0,171,0.0,1,1,1,111,3
CUST00004,1,1604.04,3,0,131,0.0,2,1,3,213,6
CUST00005,4,2550.91,8,0,38,0.0,4,3,4,434,11
CUST00006,5,3510.16,10,1,51,0.2,3,4,4,344,11
CUST00007,1,719.33,1,0,3,0.0,5,1,2,512,8
CUST00008,4,2747.33,5,0,47,0.0,3,3,4,334,10
CUST00009,1,376.85,1,0,31,0.0,4,1,1,411,6
CUST00010,1,636.8,2,0,9,0.0,5,1,1,511,7
CUST00011,2,925.0699999999999,2,0,1,0.0,5,2,2,522,9
CUST00012,2,2051.63,4,0,50,0.0,3,2,3,323,8
CUST00013,3,1754.44,3,0,61,0.0,3,3,3,333,9
CUST00014,11,8130.16,15,0,51,0.0,3,5,5,355,13
CUST00015,4,4200.93,10,0,35,0.0,4,3,5,435,12
CUST00016,1,478.02,1,0,215,0.0,1,1,1,111,3
CUST00017,3,1699.1399999999999,4,0,286,0.0,1,3,3,133,7
CUST00018,1,329.21,1,0,111,0.0,2,1,1,211,4
CUST00019,2,1598.93,3,0,9,0.0,5,2,3,523,10
CUST00020,3,4487.950000000001,8,0,368,0.0,1,3,5,135,9
CUST00021,2,1059.3,3,0,77,0.0,3,2,2,322,7
CUST00022,1,454.06,2,0,29,0.0,4,1,1,411,6
CUST00023,1,400.98,1,0,21,0.0,4,1,1,411,6
CUST00024,1,481.35,1,0,4,0.0,5,1,1,511,7
CUST00025,7,4868.86,10,0,165,0.0,1,5,5,155,11
CUST00026,3,2790.7,7,1,72,0.3333333333333333,3,3,4,334,10
CUST00027,1,0.0,3,1,70,1.0,3,1,1,311,5
CUST00028,2,1489.7800000000002,4,0,83,0.0,3,2,3,323,8
CUST00029,8,5252.9,10,0,18,0.0,5,5,5,555,15
CUST00030,6,3435.5899999999997,8,0,5,0.0,5,5,4,554,14
CUST00031,1,672.95,2,0,49,0.0,3,1,1,311,5
CUST00032,3,1948.75,5,0,33,0.0,4,3,3,433,10
CUST00033,4,1451.84,5,2,12,0.5,5,3,3,533,11
CUST00034,6,3353.01,6,0,50,0.0,3,5,4,354,12
CUST00035,3,1369.71,3,0,127,0.0,2,3,2,232,7
CUST00036,4,1138.18,4,1,27,0.25,4,3,2,432,9
CUST00037,1,435.83,2,0,102,0.0,2,1,1,211,4
CUST00038,4,2104.61,5,0,51,0.0,3,3,3,333,9
CUST00039,3,1598.49,3,0,15,0.0,5,3,3,533,11
CUST00040,1,634.73,2,0,154,0.0,1,1,1,111,3
CUST00041,4,1911.8600000000001,5,0,54,0.0,3,3,3,333,9
CUST00042,9,5127.2,14,2,87,0.2222222222222222,2,5,5,255,12
CUST00043,1,363.01,1,0,24,0.0,4,1,1,411,6
CUST00044,3,2724.09,6,0,72,0.0,3,3,4,334,10
CUST00045,1,413.75,1,0,96,0.0,2,1,1,211,4
CUST00046,1,489.87,1,0,127,0.0,2,1,1,211,4
CUST00047,1,764.43,1,0,204,0.0,1,1,2,112,4
CUST00048,4,2141.24,5,1,61,0.25,3,3,3,333,9
CUST00049,1,380.83,1,0,8,0.0,5,1,1,511,7
CUST00050,3,936.53,5,1,0,0.3333333333333333,5,3,2,532,10
CUST00051,4,4444.3,9,0,210,0.0,1,3,5,135,9
CUST00052,3,1820.53,6,1,55,0.3333333333333333,3,3,3,333,9
CUST00053,4,4192.59,9,0,25,0.0,4,3,5,435,12
CUST00054,1,489.85,1,0,6,0.0,5,1,1,511,7
CUST00055,3,1308.35,3,0,3,0.0,5,3,2,532,10
CUST00056,4,3530.41,7,0,9,0.0,5,3,4,534,12
CUST00057,2,2510.83,5,0,136,0.0,2,2,4,224,8
CUST00058,4,2451.54,6,0,42,0.0,4,3,4,434,11
CUST00059,3,2852.63,7,0,2,0.0,5,3,4,534,12
CUST00060,1,293.22,1,0,145,0.0,2,1,1,211,4
CUST00061,4,1966.0900000000001,5,0,14,0.0,5,3,3,533,11
CUST00062,4,2805.19,6,0,21,0.0,4,3,4,434,11
CUST00063,1,397.69,1,0,216,0.0,1,1,1,111,3
CUST00064,1,654.93,2,0,2,0.0,5,1,1,511,7
CUST00065,1,1911.67,3,0,6,0.0,5,1,3,513,9
CUST00066,5,4598.95,8,0,320,0.0,1,4,5,145,10
CUST00067,2,564.05,3,1,63,0.5,3,2,1,321,6
CUST00068,3,1791.26,5,1,346,0.3333333333333333,1,3,3,133,7
CUST00069,2,874.47,2,0,29,0.0,4,2,2,422,8
CUST00070,1,542.98,2,0,38,0.0,4,1,1,411,6
CUST00071,1,2062.5,3,0,32,0.0,4,1,3,413,8
CUST00072,4,2587.02,7,0,90,0.0,2,3,4,234,9
CUST00073,5,4077.07,8,0,8,0.0,5,4,5,545,14
CUST00074,4,1699.31,6,1,7,0.25,5,4,3,543,12
CUST00075,9,6791.61,14,0,3,0.0,5,5,5,555,15
CUST00076,2,1385.27,2,0,20,0.0,5,2,2,522,9
CUST00077,1,394.32,1,0,109,0.0,2,1,1,211,4
CUST00078,1,0.0,2,1,139,1.0,2,1,1,211,4
CUST00079,1,619.57,1,0,191,0.0,1,1,1,111,3
CUST00080,3,2563.41,6,0,50,0.0,3,3,4,334,10
CUST00081,8,4093.2799999999997,10,2,19,0.25,5,5,5,555,15
CUST00082,3,1671.25,4,0,254,0.0,1,3,3,133,7
CUST00083,2,362.77,2,1,89,0.5,2,2,1,221,5
CUST00084,1,1273.18,3,0,167,0.0,1,1,2,112,4
CUST00085,1,1257.8,2,0,14,0.0,5,1,2,512,8
CUST00086,5,2195.41,6,0,21,0.0,4,4,3,443,11
CUST00087,1,933.58,2,0,44,0.0,4,1,2,412,7
CUST00088,12,6774.5,16,0,98,0.0,2,5,5,255,12
CUST00089,2,2825.75,5,0,165,0.0,1,2,4,124,7
CUST00090,4,1966.31,7,0,80,0.0,3,4,3,343,10
CUST00091,4,3726.87,7,0,90,0.0,2,4,4,244,10
CUST00092,1,430.85,1,0,21,0.0,4,1,1,411,6
CUST00093,1,759.64,2,0,85,0.0,3,1,2,312,6
CUST00094,4,3557.43,6,0,183,0.0,1,4,4,144,9
CUST00095,1,372.65,1,0,65,0.0,3,1,1,311,5
CUST00096,3,1192.08,4,1,61,0.3333333333333333,3,3,2,332,8
CUST00097,7,4185.46,12,1,1,0.14285714285714285,5,5,5,555,15
